message_id,date,msg_type,from,from_id,text,reply_to
796341,2022-12-04 14:01:17,message,LizzyK,user5221752533,"Sure.
It's very possible.
No team is too big to be defeated",796337.0
796342,2022-12-04 14:01:26,message,GHOST,user855776770,I know the time is up but let me share my opinion,796340.0
796343,2022-12-04 14:01:40,message,LizzyK,user5221752533,Yes,796338.0
796354,2022-12-04 14:44:24,message,Very,user1174741085,"Hello Bybit Africa,

Leveraged Tokens are highly complex products, but with the right approach, they can provide more trading opportunities and help you generate massive profits.

Join me today by 5pm WAT for another Technical Analysis Made Easy (TAME) session as we discuss:

""Keys And Strategies For Trading Leveraged Tokens.""

Details

✅ Participants will have 1 hour to discuss and share their idea on this topic, using the hashtag,
#LTStrategy

✅ @very4050 will randomly choose winners who brings intelligent contributions to the discussion

✅ 5 winners will be selected to receive $10 bonus each 💰

📆 Date: Sunday December 4th, 5:00pm WAT
🏚 Venue: Bybit Africa

Note: The time for the session is 5pm WAT",
796355,2022-12-04 14:44:48,message,Very,user1174741085,The time is 5pm WAT,796354.0
796361,2022-12-04 14:50:14,message,Hassan Yahaya,user5073986631,Okay,
796364,2022-12-04 14:54:30,message,Hassan Yahaya,user5073986631,Sure,
796370,2022-12-04 14:55:37,message,Very,user1174741085,"@cryptogeeksuptv dont forward messages from other groups or channels, post your message directly instead",
796371,2022-12-04 14:57:05,message,,user856528875,Okay,796370.0
796373,2022-12-04 14:59:58,message,Very,user1174741085,1 hour to go!,796354.0
796376,2022-12-04 15:37:32,message,Bybit Africa Announcement,channel1587339128,"📣 Funding Rate Interval & Upper and Lower limit adjustment for BNXUSDT Perpetual Contracts

To enhance user protection, Bybit will be adjusting the Funding Rate Interval and Upper and Lower Limit for BNXUSDT Perpetual Contracts.",
796377,2022-12-04 15:39:37,message,Very,user1174741085,20 minutes to go!,796354.0
796378,2022-12-04 15:39:57,message,,user856528875,How are they going to do this,796376.0
796379,2022-12-04 15:40:44,message,Very,user1174741085,Kindly click learn more.,796378.0
796380,2022-12-04 15:41:14,message,,user1746301528,Haha,
796382,2022-12-04 15:42:29,message,Very,user1174741085,Nice one 👌,796380.0
796383,2022-12-04 15:42:46,message,,user1746301528,Thank you @very4050,796382.0
796384,2022-12-04 15:42:48,message,Triad🌱SEED 🐾,user1370904829,😘,
796386,2022-12-04 15:44:49,message,Very,user1174741085,Nice one 👌,796384.0
796387,2022-12-04 15:45:07,message,Very,user1174741085,🙌,796383.0
796388,2022-12-04 15:45:21,message,Very,user1174741085,15 minutes to go!,796354.0
796389,2022-12-04 15:45:55,message,Triad🌱SEED 🐾,user1370904829,Thanks 😊,796386.0
796390,2022-12-04 15:46:52,message,,user1746301528,Nice one,796384.0
796392,2022-12-04 15:48:00,message,Triad🌱SEED 🐾,user1370904829,🙌,796390.0
796394,2022-12-04 15:52:19,message,Very,user1174741085,8⃣,796354.0
796395,2022-12-04 15:52:59,message,,user5237111657,Happy Sunday boss 😎,796394.0
796396,2022-12-04 15:53:00,message,Very,user1174741085,7⃣,796354.0
796397,2022-12-04 15:53:12,message,Very,user1174741085,Same to you 😊,796395.0
796398,2022-12-04 15:53:19,message,Very,user1174741085,How are you doing ?,796395.0
796400,2022-12-04 15:54:16,message,,user5237111657,I'm good man. Had a very tedious week.... Let's see how this week goes,796398.0
796401,2022-12-04 15:54:17,message,Very,user1174741085,6⃣,796354.0
796402,2022-12-04 15:54:27,message,Very,user1174741085,😁,796400.0
796403,2022-12-04 15:54:29,message,,user5237111657,It's 5pm today 🤔,796396.0
796404,2022-12-04 15:54:35,message,Very,user1174741085,Yeah,796403.0
796405,2022-12-04 15:54:46,message,,user5237111657,👍,796404.0
796406,2022-12-04 15:55:18,message,Very,user1174741085,5⃣,796354.0
796407,2022-12-04 15:56:10,message,Very,user1174741085,4⃣,796354.0
796408,2022-12-04 15:56:58,message,Very,user1174741085,3⃣,796354.0
796409,2022-12-04 15:57:59,message,Ayotunde1🐾,user2075961820,"Loading....

#LTStrategy",796408.0
796410,2022-12-04 15:58:13,message,Very,user1174741085,2⃣,796354.0
796411,2022-12-04 15:58:38,message,Ayotunde1🐾,user2075961820,"Ready to learn
#LTStrategy",796410.0
796412,2022-12-04 15:58:54,message,Very,user1174741085,,796411.0
796413,2022-12-04 15:59:09,message,Very,user1174741085,1⃣,796354.0
